"UniprotID"	"Name"	"Description"	"M_1"	"M_2"	"M_3"	"G1_1"	"G1_2"	"G1_3"	"p.value"	"difference"	"CI_diff_low"	"CI_diff_high"	"FDR"	"sig"
"A0AVT1"	"UBA6_HUMAN"	"Ubiquitin-like modifier-activating enzyme 6"	6.23222568907915	6.05486357487141	6.1327477973155	6.26156964005613	6.30376585228828	6.26156964005613	0.063328582930322	0.135689357044821	-0.0120694750161311	0.283448189105772	0.149983280492075	FALSE
"A0MZ66"	"SHOT1_HUMAN"	"Shootin-1"	5.71139352577771	5.72836275019423	5.70251662438739	5.51722451552432	5.62021092423542	5.51722451552432	0.00985658597307134	-0.16253764835842	-0.260146744905445	-0.0649285518113941	0.0491467421489757	FALSE
"A1L390"	"PKHG3_HUMAN"	"Pleckstrin homology domain-containing family G member 3"	5.68337914960812	5.6865425744996	5.7623542130915	5.62668191400329	5.85080663141079	5.62668191400329	0.911365389793778	-0.00936849259395078	-0.228825018502535	0.210088033314634	0.943335566013861	FALSE
"A1X283"	"SPD2B_HUMAN"	"SH3 and PX domain-containing protein 2B"	5.43575908316429	5.40929430944611	5.62551659982691	5.50760193074555	5.50182619337221	5.50760193074555	0.831304334930447	0.0154866874753328	-0.173645972796894	0.20461934774756	0.887663016296964	FALSE
"A2RTX5"	"SYTC2_HUMAN"	"Probable threonine--tRNA ligase 2, cytoplasmic"	5.12763678780195	5.17734758139641	5.04348045921842	5.01996661475384	5.24895511698449	5.01996661475384	0.828215265339436	-0.0198588273082008	-0.257930181117611	0.21821252650121	0.886833824202302	FALSE
"A3KN83"	"SBNO1_HUMAN"	"Protein strawberry notch homolog 1"	3.75417839227451	3.93694937200564	3.90070520594534	4.36567804339686	4.21724625725715	4.36567804339686	0.00374338741058991	0.452256457941797	0.245050872516974	0.659462043366619	0.0285149325972904	FALSE
"A5YKK6"	"CNOT1_HUMAN"	"CCR4-NOT transcription complex subunit 1"	4.37003490094145	4.85541948650905	4.31816130602682	4.31613858259555	4.65020566453326	4.31613858259555	0.691769493638326	-0.0870442879176538	-0.653835550048084	0.479746974212777	0.791380057747638	FALSE
"A6NDG6"	"PGP_HUMAN"	"Glycerol-3-phosphate phosphatase"	6.30197431748588	6.07661315826187	6.19526428143561	6.08611353264058	6.14007839673469	6.08611353264058	0.266238526690735	-0.0871820983891674	-0.274666036733333	0.100301839954998	0.401583399454625	FALSE
"A6NDU8"	"CE051_HUMAN"	"UPF0600 protein C5orf51"	5.21701259513265	5.05120655126332	5.28516303046937	5.49095526481354	5.56931421221651	5.49095526481354	0.0109769477659228	0.332614188326085	0.126549489462575	0.538678887189595	0.0520368607556962	FALSE
"A6NFI3"	"ZN316_HUMAN"	"Zinc finger protein 316"	5.11674847165922	5.24933369422214	5.33617271401114	5.31928513791241	5.30282198896323	5.31928513791241	0.281146802128757	0.0797124616318516	-0.0980775177102685	0.257502440973972	0.418602794092688	FALSE
"A6NHR9"	"SMHD1_HUMAN"	"Structural maintenance of chromosomes flexible hinge domain-containing protein 1"	5.82054720189022	6.02534448795136	5.70112741384105	5.52950284530276	5.60497641054026	5.52950284530276	0.0397488891927901	-0.294345667512287	-0.566311534433254	-0.0223798005913202	0.110553991425419	FALSE
"A6NIH7"	"U119B_HUMAN"	"Protein unc-119 homolog B"	5.1456033343314	5.05120655126332	5.27399372275125	5.45992836919292	5.47022699842702	5.45992836919292	0.00904032474019385	0.306426709488957	0.126920125216987	0.485933293760928	0.0464522812955731	FALSE
"A6NIZ1"	"RP1BL_HUMAN"	"Ras-related protein Rap-1b-like protein"	5.34537284670718	5.47900328125751	5.09092762162088	4.96477482832166	5.02917390910458	4.96477482832166	0.0512248038755632	-0.318860061279225	-0.640454410237262	0.00273428767881123	0.129158086278385	FALSE
"A6NJ78"	"MET15_HUMAN"	"Probable methyltransferase-like protein 15"	4.45605864477482	4.46807372109925	4.1161649131199	4.00831625501492	3.97332067437106	4.00831625501492	0.0391721546393367	-0.350114698197689	-0.672018269148976	-0.0282111272464032	0.10963265277139	FALSE
"A6NKD9"	"CC85C_HUMAN"	"Coiled-coil domain-containing protein 85C"	5.78888804656216	5.63127855563741	5.61964601170241	5.94045916776979	5.77115282231016	5.94045916776979	0.0600797849731408	0.204086181315918	-0.0138919831118498	0.422064345743686	0.144301446936321	FALSE
"A8MWX3"	"WASH4_HUMAN"	"Putative WAS protein family homolog 4"	3.99914450534699	3.70527913708119	4.15727011644957	4.27135066084871	4.42583287906857	4.27135066084871	0.0602592944866624	0.368946813962749	-0.0255439927972336	0.763437620722731	0.144612288597668	FALSE
"A8MYA2"	"CX049_HUMAN"	"Uncharacterized protein CXorf49"	5.41516981366195	5.34204406803691	5.60931464756552	5.41798240083919	5.23912075687991	5.41798240083919	0.384474017317748	-0.0971476569020293	-0.373598916488259	0.1793036026842	0.529749230293993	FALSE
"E9PAV3"	"NACAM_HUMAN"	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	6.18087880907893	6.58650166716979	6.25139229381412	6.74254984098306	6.61108953426687	6.74254984098306	0.053594045000078	0.359138815390049	-0.00894468287574645	0.727222313655845	0.132812023961567	FALSE
"O00116"	"ADAS_HUMAN"	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	6.01974777686845	6.36726405802619	6.30450363027368	6.01026452680444	5.86494451332627	6.01026452680444	0.0839610465215417	-0.268680632744393	-0.594594861879557	0.0572335963907714	0.180892195005739	FALSE
"O00139"	"KIF2A_HUMAN"	"Kinesin-like protein KIF2A"	5.08544435174121	5.19070596425143	5.19131168981011	5.14049289871588	5.31971776485232	5.14049289871588	0.556655356567875	0.044413852160444	-0.148090093217648	0.236917797538536	0.688040198837323	FALSE
"O00148"	"DX39A_HUMAN"	"ATP-dependent RNA helicase DDX39A"	5.0534458897507	5.19733905658387	4.94832322617807	5.27621641602053	5.15584571259301	5.27621641602053	0.109029825204624	0.169723457373804	-0.0595487474624574	0.398995662210065	0.216039193799417	FALSE
"O00154"	"BACH_HUMAN"	"Cytosolic acyl coenzyme A thioester hydrolase"	5.92826101919048	5.69594127250185	5.73138523493374	6.09623774991429	6.15270600506244	6.09623774991429	0.0115330753474024	0.329864659421654	0.122542152167871	0.537187166675437	0.053444604378733	FALSE
